claim_id,claim,source_type,source_url,accessed,confidence,limitation
C01,"Anthropic reported 16M+ exchanges through about 24,000 accounts linked to DeepSeek, Moonshot AI, and MiniMax",Provider primary source,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks,2026-07-11,High for provider statement,"Underlying telemetry is not public; attribution is not independently reproducible"
C02,"DeepSeek generated 150,000+ exchanges",Provider primary source,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks,2026-07-11,High for provider statement,"Provider-reported count"
C03,"Moonshot AI generated 3.4M+ exchanges",Provider primary source,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks,2026-07-11,High for provider statement,"Provider-reported count"
C04,"MiniMax generated 13M+ exchanges",Provider primary source,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks,2026-07-11,High for provider statement,"Provider-reported count"
C05,"Commercial proxy services and coordinated account networks were used",Provider primary source,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks,2026-07-11,Medium,"Detailed infrastructure indicators are not public"
C06,"Anthropic assessed attribution with high confidence",Provider primary source,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks,2026-07-11,High for provider confidence statement,"Not an independent confidence assessment"
C07,"Anthropic accused Alibaba/Qwen-linked operators of 28.8M interactions through nearly 25,000 accounts",Independent report of provider letter,https://www.reuters.com/world/china/anthropic-says-alibaba-illicitly-extracted-claude-ai-model-capabilities-2026-06-24/,2026-07-11,Medium-High,"Reuters reviewed a letter; raw telemetry remains unavailable"
C08,"Alibaba restricted internal use of Claude Code",Independent reporting,https://www.reuters.com/world/china/alibaba-ban-claude-code-workplace-over-alleged-backdoor-risks-source-says-2026-07-03/,2026-07-11,Medium-High,"Reported by source familiar with internal policy"
C09,"China's NVDB issued a security warning concerning Claude Code",Independent reporting,https://www.reuters.com/legal/litigation/china-issues-backdoor-security-alert-over-anthropics-claude-code-2026-07-08/,2026-07-11,High,"Contextual event; does not validate campaign attribution"
C10,"ATT&CK mappings are analyst-created analogies",Framework documentation,https://attack.mitre.org,2026-07-11,High,"ATT&CK is not AI-service-native; confidence caveats required"
C11,"ATLAS is used for AI model access and extraction behavior",Framework documentation,https://atlas.mitre.org,2026-07-11,High,"Crosswalk is analyst-created, not an official campaign mapping"
